topology,routing,traffic,mode,seed,logfile
megafly_20,dragonfly_min,hotregion_1000,static,13,results/megafly_20_dragonfly_min_hotregion_1000_seed13.log
megafly_20,dragonfly_min,hotregion_1000,static,42,results/megafly_20_dragonfly_min_hotregion_1000_seed42.log
megafly_20,dragonfly_min,hotregion_1000,static,99,results/megafly_20_dragonfly_min_hotregion_1000_seed99.log
megafly_20,dragonfly_min,shift_5,static,13,results/megafly_20_dragonfly_min_shift_5_seed13.log
megafly_20,dragonfly_min,shift_5,static,42,results/megafly_20_dragonfly_min_shift_5_seed42.log
megafly_20,dragonfly_min,shift_5,static,99,results/megafly_20_dragonfly_min_shift_5_seed99.log
slimfly_3,dragonfly_min,bisection,static,13,results/slimfly_3_dragonfly_min_bisection_seed13.log
slimfly_3,dragonfly_min,bisection,static,42,results/slimfly_3_dragonfly_min_bisection_seed42.log
slimfly_3,dragonfly_min,bisection,static,99,results/slimfly_3_dragonfly_min_bisection_seed99.log
slimfly_3,dragonfly_min,alltoall,static,13,results/slimfly_3_dragonfly_min_alltoall_seed13.log
slimfly_3,dragonfly_min,alltoall,static,42,results/slimfly_3_dragonfly_min_alltoall_seed42.log
slimfly_3,dragonfly_min,alltoall,static,99,results/slimfly_3_dragonfly_min_alltoall_seed99.log
slimfly_3,dragonfly_min,random_5000,static,13,results/slimfly_3_dragonfly_min_random_5000_seed13.log
slimfly_3,dragonfly_min,random_5000,static,42,results/slimfly_3_dragonfly_min_random_5000_seed42.log
slimfly_3,dragonfly_min,random_5000,static,99,results/slimfly_3_dragonfly_min_random_5000_seed99.log
slimfly_3,dragonfly_min,hotregion_1000,static,13,results/slimfly_3_dragonfly_min_hotregion_1000_seed13.log
slimfly_3,dragonfly_min,hotregion_1000,static,42,results/slimfly_3_dragonfly_min_hotregion_1000_seed42.log
slimfly_3,dragonfly_min,hotregion_1000,static,99,results/slimfly_3_dragonfly_min_hotregion_1000_seed99.log
slimfly_3,dragonfly_min,shift_5,static,13,results/slimfly_3_dragonfly_min_shift_5_seed13.log
slimfly_3,dragonfly_min,shift_5,static,42,results/slimfly_3_dragonfly_min_shift_5_seed42.log
slimfly_3,dragonfly_min,shift_5,static,99,results/slimfly_3_dragonfly_min_shift_5_seed99.log
slimfly_5,dragonfly_min,bisection,static,13,results/slimfly_5_dragonfly_min_bisection_seed13.log
slimfly_5,dragonfly_min,bisection,static,42,results/slimfly_5_dragonfly_min_bisection_seed42.log
slimfly_5,dragonfly_min,bisection,static,99,results/slimfly_5_dragonfly_min_bisection_seed99.log
slimfly_5,dragonfly_min,alltoall,static,13,results/slimfly_5_dragonfly_min_alltoall_seed13.log
slimfly_5,dragonfly_min,alltoall,static,42,results/slimfly_5_dragonfly_min_alltoall_seed42.log
slimfly_5,dragonfly_min,alltoall,static,99,results/slimfly_5_dragonfly_min_alltoall_seed99.log
slimfly_5,dragonfly_min,random_5000,static,13,results/slimfly_5_dragonfly_min_random_5000_seed13.log
slimfly_5,dragonfly_min,random_5000,static,42,results/slimfly_5_dragonfly_min_random_5000_seed42.log
slimfly_5,dragonfly_min,random_5000,static,99,results/slimfly_5_dragonfly_min_random_5000_seed99.log
slimfly_5,dragonfly_min,hotregion_1000,static,13,results/slimfly_5_dragonfly_min_hotregion_1000_seed13.log
slimfly_5,dragonfly_min,hotregion_1000,static,42,results/slimfly_5_dragonfly_min_hotregion_1000_seed42.log
slimfly_5,dragonfly_min,hotregion_1000,static,99,results/slimfly_5_dragonfly_min_hotregion_1000_seed99.log
slimfly_5,dragonfly_min,shift_5,static,13,results/slimfly_5_dragonfly_min_shift_5_seed13.log
slimfly_5,dragonfly_min,shift_5,static,42,results/slimfly_5_dragonfly_min_shift_5_seed42.log
slimfly_5,dragonfly_min,shift_5,static,99,results/slimfly_5_dragonfly_min_shift_5_seed99.log
slimfly_13,dragonfly_min,bisection,static,13,results/slimfly_13_dragonfly_min_bisection_seed13.log
slimfly_13,dragonfly_min,bisection,static,42,results/slimfly_13_dragonfly_min_bisection_seed42.log
slimfly_13,dragonfly_min,bisection,static,99,results/slimfly_13_dragonfly_min_bisection_seed99.log
slimfly_13,dragonfly_min,alltoall,static,13,results/slimfly_13_dragonfly_min_alltoall_seed13.log
slimfly_13,dragonfly_min,alltoall,static,42,results/slimfly_13_dragonfly_min_alltoall_seed42.log
slimfly_13,dragonfly_min,alltoall,static,99,results/slimfly_13_dragonfly_min_alltoall_seed99.log
slimfly_13,dragonfly_min,random_5000,static,13,results/slimfly_13_dragonfly_min_random_5000_seed13.log
slimfly_13,dragonfly_min,random_5000,static,42,results/slimfly_13_dragonfly_min_random_5000_seed42.log
slimfly_13,dragonfly_min,random_5000,static,99,results/slimfly_13_dragonfly_min_random_5000_seed99.log
slimfly_13,dragonfly_min,hotregion_1000,static,13,results/slimfly_13_dragonfly_min_hotregion_1000_seed13.log
slimfly_13,dragonfly_min,hotregion_1000,static,42,results/slimfly_13_dragonfly_min_hotregion_1000_seed42.log
slimfly_13,dragonfly_min,hotregion_1000,static,99,results/slimfly_13_dragonfly_min_hotregion_1000_seed99.log
slimfly_13,dragonfly_min,shift_5,static,13,results/slimfly_13_dragonfly_min_shift_5_seed13.log
slimfly_13,dragonfly_min,shift_5,static,42,results/slimfly_13_dragonfly_min_shift_5_seed42.log
slimfly_13,dragonfly_min,shift_5,static,99,results/slimfly_13_dragonfly_min_shift_5_seed99.log
slimfly_17,dragonfly_min,bisection,static,13,results/slimfly_17_dragonfly_min_bisection_seed13.log
slimfly_17,dragonfly_min,bisection,static,42,results/slimfly_17_dragonfly_min_bisection_seed42.log
slimfly_17,dragonfly_min,bisection,static,99,results/slimfly_17_dragonfly_min_bisection_seed99.log
slimfly_17,dragonfly_min,alltoall,static,13,results/slimfly_17_dragonfly_min_alltoall_seed13.log
slimfly_17,dragonfly_min,alltoall,static,42,results/slimfly_17_dragonfly_min_alltoall_seed42.log
slimfly_17,dragonfly_min,alltoall,static,99,results/slimfly_17_dragonfly_min_alltoall_seed99.log
slimfly_17,dragonfly_min,random_5000,static,13,results/slimfly_17_dragonfly_min_random_5000_seed13.log
slimfly_17,dragonfly_min,random_5000,static,42,results/slimfly_17_dragonfly_min_random_5000_seed42.log
slimfly_17,dragonfly_min,random_5000,static,99,results/slimfly_17_dragonfly_min_random_5000_seed99.log
slimfly_17,dragonfly_min,hotregion_1000,static,13,results/slimfly_17_dragonfly_min_hotregion_1000_seed13.log
slimfly_17,dragonfly_min,hotregion_1000,static,42,results/slimfly_17_dragonfly_min_hotregion_1000_seed42.log
slimfly_17,dragonfly_min,hotregion_1000,static,99,results/slimfly_17_dragonfly_min_hotregion_1000_seed99.log
slimfly_17,dragonfly_min,shift_5,static,13,results/slimfly_17_dragonfly_min_shift_5_seed13.log
slimfly_17,dragonfly_min,shift_5,static,42,results/slimfly_17_dragonfly_min_shift_5_seed42.log
slimfly_17,dragonfly_min,shift_5,static,99,results/slimfly_17_dragonfly_min_shift_5_seed99.log
